fusion,entry_time,reason,session,expected_R
high_pf_conservative_fusion,1615395600000,FILTER_REJECTED,NEW_YORK,1.0678100823465357
high_pf_conservative_fusion,1615413600000,FILTER_REJECTED,OFF_HOURS,0.9670657190321743
high_pf_conservative_fusion,1615471200000,FILTER_REJECTED,NEW_YORK,0.9652756132953827
high_pf_conservative_fusion,1615629600000,FILTER_REJECTED,LONDON,0.9576084894550773
high_pf_conservative_fusion,1615636800000,FILTER_REJECTED,LONDON,1.0559678233069287
high_pf_conservative_fusion,1615669200000,FILTER_REJECTED,NEW_YORK,0.9601350049855385
high_pf_conservative_fusion,1615939200000,FILTER_REJECTED,OFF_HOURS,0.9639307060837436
high_pf_conservative_fusion,1616011200000,FILTER_REJECTED,NEW_YORK,1.0728852399065005
high_pf_conservative_fusion,1616086800000,FILTER_REJECTED,NEW_YORK,0.963435891188729
high_pf_conservative_fusion,1616252400000,FILTER_REJECTED,NEW_YORK,0.9514267838798975
high_pf_conservative_fusion,1616320800000,FILTER_REJECTED,LONDON,1.0528421034369877
high_pf_conservative_fusion,1616450400000,FILTER_REJECTED,OFF_HOURS,1.072776684784394
high_pf_conservative_fusion,1616626800000,FILTER_REJECTED,OFF_HOURS,1.3496075831692214
high_pf_conservative_fusion,1617015600000,FILTER_REJECTED,LONDON,1.0584079192440063
high_pf_conservative_fusion,1617127200000,FILTER_REJECTED,NEW_YORK,0.9430780722828118
high_pf_conservative_fusion,1617206400000,FILTER_REJECTED,NEW_YORK,0.9566009038070032
high_pf_conservative_fusion,1617339600000,FILTER_REJECTED,OFF_HOURS,0.9471578145798193
high_pf_conservative_fusion,1617634800000,FILTER_REJECTED,NEW_YORK,0.9364071246752486
high_pf_conservative_fusion,1618048800000,FILTER_REJECTED,LONDON,0.9444567331968919
high_pf_conservative_fusion,1618106400000,FILTER_REJECTED,OFF_HOURS,0.9450414056410458
high_pf_conservative_fusion,1618210800000,FILTER_REJECTED,OFF_HOURS,0.9411833327917861
high_pf_conservative_fusion,1618300800000,FILTER_REJECTED,LONDON,0.9412285461540433
high_pf_conservative_fusion,1618311600000,FILTER_REJECTED,LONDON,1.054400648987602
high_pf_conservative_fusion,1618376400000,FILTER_REJECTED,OFF_HOURS,0.9455383785071794
