family,behavior_cluster,candidates,avg_pnl,max_pf
session_aware,abb3faecc9341640,1,429.74,1.202
session_aware,bab54330c7e29466,1,1049.59,1.0988
session_aware,bb85a8d463be8c53,1,7949.55,1.5183
session_aware,c8362e301d3a4576,1,-175.77,0.8084
session_aware,ca8e2277871737da,1,757.07,1.1375
session_aware,cc66a505d9a9d275,1,1913.06,1.2357
session_aware,cd8b76422dc31a58,1,-396.82,0.8678
session_aware,cda33a39fab88d33,1,434.72,1.0889
session_aware,ce63b00945c126d5,1,0.0,0.0
session_aware,d13f4d8da6fc7a8d,1,0.0,0.0
session_aware,ebc9f4c3f350100e,1,669.47,1.1035
session_aware,ef3946fcdec4abf7,1,0.0,0.0
session_aware,f4d6851ca376184d,1,4703.97,1.3357
session_aware,fd030c570ab1d40f,1,-192.43,0.9197
stress_hardened,044120350bb8f865,1,3512.89,1.4686
stress_hardened,0714b936c8f7f081,1,0.0,0.0
stress_hardened,125c1b404ba86ac8,1,147.34,1.1247
stress_hardened,1281dad881ee6aca,1,-318.93,0.3395
stress_hardened,191ddb4850f14794,1,8362.83,1.3797
stress_hardened,2483123edaa6261f,1,0.0,0.0
stress_hardened,26d9652d6e0ea3d4,1,-462.9,0.7843
stress_hardened,36c7197417f0b94a,1,-87.72,0.9491
stress_hardened,3b9d1f6926083145,1,-66.76,0.7106
stress_hardened,420d2988203ecc92,1,2390.56,1.4115
stress_hardened,4303b2a2774c32f5,1,-66.76,0.7106
stress_hardened,570f4762dc100add,1,0.0,0.0
stress_hardened,5f480b5aee7bddd7,1,0.0,0.0
stress_hardened,69d471871b78a7df,1,3885.9,1.3153
stress_hardened,6c8e9a6d550b58b2,1,-59.88,0.9681
stress_hardened,794e2511b90e0563,1,1300.79,1.0614
stress_hardened,880d0259c1a29e61,1,-23.06,0.993
stress_hardened,a1185c2c2518d5e9,1,2279.88,1.3198
stress_hardened,b142e951875fe3f2,1,-295.87,0.8759
stress_hardened,b21b153f0462cb23,1,5850.79,1.415
stress_hardened,c313e21f37b4a865,1,1448.4,1.1782
stress_hardened,c44969fb4e4eee1d,1,0.0,0.0
stress_hardened,c80de0bf59401b92,1,3148.53,1.3334
stress_hardened,e0b5a75a736b424e,1,757.07,1.1375
stress_hardened,e756fd8c69b8eaf3,1,8439.85,1.3793
stress_hardened,eb2c94a64c7bf3cc,1,729.97,1.2388
stress_hardened,ef2902c1a2da8f1d,1,5799.58,1.4012
stress_hardened,f265185910fd7099,1,2924.11,1.3096
stress_hardened,f460733870f5b175,1,5561.24,1.1636
stress_hardened,f9aae694e4266f21,1,3014.52,1.382
